artwork_id,object_id,title,artist,type,image_url,thumbnail_url
6472735567,379361,Subject,"Ryman, Robert b. 1930",Painting,https://api.collectorsystems.com/11184/objects/379361/mainimage,https://api.collectorsystems.com/11184/objects/379361/mainimage?size=detail
5296558081,379362,Independence Day,"Bootier, Jacqueline",Painting,https://api.collectorsystems.com/11184/objects/379362/mainimage,https://api.collectorsystems.com/11184/objects/379362/mainimage?size=detail
4049387186,379363,White Rabbit,"von Hellerman, Sophie b. 1975",Painting,https://api.collectorsystems.com/11184/objects/379363/mainimage,https://api.collectorsystems.com/11184/objects/379363/mainimage?size=detail
9531749709,379365,Ducks,"Benedict, Kristopher b. 1978",Painting,https://api.collectorsystems.com/11184/objects/379365/mainimage,https://api.collectorsystems.com/11184/objects/379365/mainimage?size=detail
7803602347,379367,Untitled,"Pardo, Jorge b. 1963",Painting,https://api.collectorsystems.com/11184/objects/379367/mainimage,https://api.collectorsystems.com/11184/objects/379367/mainimage?size=detail
7247011202,379377,"New York, 1970  (IRC Flight Portfolio)","Motherwell, Robert 1915-1991",Work on paper,https://api.collectorsystems.com/11184/objects/379377/mainimage,https://api.collectorsystems.com/11184/objects/379377/mainimage?size=detail
7462763887,379378,"Paris, 1967  (IRC Flight Portfolio)","Pignon, Edouard 1905-1993",Work on paper,https://api.collectorsystems.com/11184/objects/379378/mainimage,https://api.collectorsystems.com/11184/objects/379378/mainimage?size=detail
1945823288,379379,Zurich 1969  (IRC Flight Portfolio),"Wotruba, Fritz 1907-1975",Work on paper,https://api.collectorsystems.com/11184/objects/379379/mainimage,https://api.collectorsystems.com/11184/objects/379379/mainimage?size=detail
1781432332,379380,"New York, 1969  (IRC Flight Portfolio)","Gottlieb, Adolph 1903-1974",Work on paper,https://api.collectorsystems.com/11184/objects/379380/mainimage,https://api.collectorsystems.com/11184/objects/379380/mainimage?size=detail
9273399283,379381,"Zurich, 1967  (IRC Flight Portfolio)","Lam, Wifredo 1902-1982",Work on paper,https://api.collectorsystems.com/11184/objects/379381/mainimage,https://api.collectorsystems.com/11184/objects/379381/mainimage?size=detail
3582937144,379382,Untitled,"Hilal, Sami b. 1952",Installation,https://api.collectorsystems.com/11184/objects/379382/mainimage,https://api.collectorsystems.com/11184/objects/379382/mainimage?size=detail
0447199575,379383,Untitled,"Bechara, Jose b. 1957",Painting,https://api.collectorsystems.com/11184/objects/379383/mainimage,https://api.collectorsystems.com/11184/objects/379383/mainimage?size=detail
0863238019,379385,Marie Therese from the series Where We Come From,"Jacir, Emily b. 1970",Photographs,https://api.collectorsystems.com/11184/objects/379385/mainimage,https://api.collectorsystems.com/11184/objects/379385/mainimage?size=detail
3614998823,379386,"Bank mirror, Ramallah, April 22, 2002; Israeli soldiers, Bethlehem, April 20, 2002; A Doctor's office","Jacir, Emily b. 1970",Photographs,https://api.collectorsystems.com/11184/objects/379386/mainimage,https://api.collectorsystems.com/11184/objects/379386/mainimage?size=detail
8811235151,379387,Untitled,"Reyle, Anselm b. 1970",Painting,https://api.collectorsystems.com/11184/objects/379387/mainimage,https://api.collectorsystems.com/11184/objects/379387/mainimage?size=detail
2125786274,379388,The Devil and His Mother,"Weber, Martin",Photographs,https://api.collectorsystems.com/11184/objects/379388/mainimage,https://api.collectorsystems.com/11184/objects/379388/mainimage?size=detail
3301508693,379389,Untitled (Portrait #1),"Rathman, David b. 1958",Painting,https://api.collectorsystems.com/11184/objects/379389/mainimage,https://api.collectorsystems.com/11184/objects/379389/mainimage?size=detail
8055219394,379391,Untitled (coca-cola),"Hawkins, Stuart b. 1969",Photographs,https://api.collectorsystems.com/11184/objects/379391/mainimage,https://api.collectorsystems.com/11184/objects/379391/mainimage?size=detail
9635942789,379392,End Game,"Meyerson, Jin b. 1972",Painting,https://api.collectorsystems.com/11184/objects/379392/mainimage,https://api.collectorsystems.com/11184/objects/379392/mainimage?size=detail
4645652892,379393,Black sheep almond blossom,"von Hellerman, Sophie b. 1975",Painting,https://api.collectorsystems.com/11184/objects/379393/mainimage,https://api.collectorsystems.com/11184/objects/379393/mainimage?size=detail
9675229017,379394,Chandelier,Assume Vivid Astro Focus,Installation,https://api.collectorsystems.com/11184/objects/379394/mainimage,https://api.collectorsystems.com/11184/objects/379394/mainimage?size=detail
4418674487,379395,Stuse,Assume Vivid Astro Focus,Installation,https://api.collectorsystems.com/11184/objects/379395/mainimage,https://api.collectorsystems.com/11184/objects/379395/mainimage?size=detail
1432645904,379396,Wilza,Assume Vivid Astro Focus,Installation,https://api.collectorsystems.com/11184/objects/379396/mainimage,https://api.collectorsystems.com/11184/objects/379396/mainimage?size=detail
5647919522,379397,Blood,Assume Vivid Astro Focus,Installation,https://api.collectorsystems.com/11184/objects/379397/mainimage,https://api.collectorsystems.com/11184/objects/379397/mainimage?size=detail
3119409933,379398,Reses,Assume Vivid Astro Focus,Installation,https://api.collectorsystems.com/11184/objects/379398/mainimage,https://api.collectorsystems.com/11184/objects/379398/mainimage?size=detail
