width_inches,height_inches,inventory_number,object_id,object_type,title,unique_id,artist,img_link,color_tags
24.0,24.0,1824,379356,Photographs,Pongo Joe,0085223123,"O'Neill, Michael",https://api.collectorsystems.com/11184/objects/379356/mainimage,"{'0': '#c7c8c1', '1': '#434242', '2': '#737573'}"
71.0,35.5,1825.3,379357,Photographs,Domestic Sculpture,6308057549,"von Hausswolff, Annika b. 1967",https://api.collectorsystems.com/11184/objects/379357/mainimage,"{'0': '#4e1e13', '1': '#956252', '2': '#b6b7b1'}"
48.4375,75.5625,1826.2,379358,Photographs,Dutra,4366425068,"Reisewirth, Caio b. 1967",https://api.collectorsystems.com/11184/objects/379358/mainimage,"{'0': '#181213', '1': '#8f8fa6', '2': '#665353'}"
48.4375,75.5625,1827.3,379359,Photographs,Carandiru,7758037603,"Reisewirth, Caio b. 1967",https://api.collectorsystems.com/11184/objects/379359/mainimage,"{'0': '#9f98aa', '1': '#6e6a77', '2': '#251819'}"
29.5,23.625,1828,379360,Painting,"Brennende Kerze, Tuch (Burning Candle, Cloth)",0894265818,"Schmersal, Peter b. 1952",https://api.collectorsystems.com/11184/objects/379360/mainimage,"{'0': '#7b6e3f', '1': '#403813', '2': '#aca680'}"
38.0,38.0,1829,379361,Painting,Subject,6472735567,"Ryman, Robert b. 1930",https://api.collectorsystems.com/11184/objects/379361/mainimage,"{'0': '#cccdc6', '1': '#e1e7ec', '2': '#d9dfe3'}"
96.0,90.0,1831,379362,Painting,Independence Day,5296558081,"Bootier, Jacqueline",https://api.collectorsystems.com/11184/objects/379362/mainimage,"{'0': '#2c2f39', '1': '#968d79', '2': '#efedeb'}"
82.0,95.0,1832,379363,Painting,White Rabbit,4049387186,"von Hellerman, Sophie b. 1975",https://api.collectorsystems.com/11184/objects/379363/mainimage,"{'0': '#c5bba2', '1': '#615c53', '2': '#3476e5'}"
30.0,24.0,1834,379365,Painting,Ducks,9531749709,"Benedict, Kristopher b. 1978",https://api.collectorsystems.com/11184/objects/379365/mainimage,"{'0': '#2c546a', '1': '#bebec3', '2': '#7ca0b6'}"
144.0,72.0,1906,379367,Painting,Untitled,7803602347,"Pardo, Jorge b. 1963",https://api.collectorsystems.com/11184/objects/379367/mainimage,"{'0': '#6e5e3c', '1': '#a83127', '2': '#c4af92'}"
16.75,23.25,1965,379377,Work on paper,"New York, 1970  (IRC Flight Portfolio)",7247011202,"Motherwell, Robert 1915-1991",https://api.collectorsystems.com/11184/objects/379377/mainimage,"{'0': '#f0eed8', '1': '#b99554', '2': '#cab276'}"
